キー,名前,型,効果,備考,採用枚数,持つ武将,説明
chain,呼応,誘発,攻撃力 +2%（20秒）,ally_skill で発動 / 対象 自分 / 1戦5回まで,10,魯粛〔榻上策〕、賈詡〔毒士〕、荀攸〔謀主〕、李厳〔正方〕、簡雍〔憲和〕、樊建〔伝令〕、張角〔太平道〕、張宝〔地公将軍〕、陳琳〔檄文〕、許攸〔烏巣〕,
vanguard,陣頭,常在,,陣頭。前衛に置くと兵力が増える（後衛では働かない）,9,張飛〔当陽橋〕、劉備〔徳将〕、許褚〔虎痴〕、典韋〔古之悪来〕、黄蓋〔苦肉〕、高順〔陥陣〕、曹彰〔黄鬚〕、陳武〔廬江〕、兀突骨〔藤甲〕,
pursuit,執念,誘発,攻撃力 +12%（20秒）,enemy_retreat で発動 / 対象 自分 / 1戦3回まで,10,孫策〔小覇王〕、黄忠〔定軍山〕、夏侯淵〔神速〕、張任〔落鳳〕、馬岱〔追撃〕、潘璋〔急襲〕、孫堅〔江東の虎〕、孫尚香〔弓腰姫〕、曹性〔射眼〕、曹休〔千里駒〕,
rearguard,殿,誘発,防御力 +20%（20秒）,ally_retreat で発動 / 対象 味方1列 / 1戦2回まで,7,于禁〔毅重〕、程普〔老練〕、李典〔慎重〕、朱然〔江陵〕、陳到〔白毦〕、張嶷〔越巂〕、孫桓〔夷陵〕,
reserve,後備え,誘発,防御力 +20%（20秒）,ally_retreat で発動 / 対象 味方1体（残兵力が最少） / 1戦2回まで,0,,
restraint,節制,常在,,自身の初回兵法後 / 敵味方の各武将は初回発動後の自然ゲージ増加 -60% / 重複なし,1,陸抗〔羊陸之交〕,
disrupt,攪乱,誘発,攻撃力 -4%（12秒）,ally_skill で発動 / 対象 敵全体 / 1戦3回まで,7,諸葛亮〔臥龍〕、呂蒙〔白衣〕、法正〔翼侯〕、鍾会〔士季〕、徐盛〔疑城〕、周魴〔断髪〕、徐庶〔元直〕,味方が兵法を放った時、敵全体の攻めを短く鈍らせる（連鎖の妨害）
laststand,背水,誘発,攻撃力 +25%（90秒）,self_low_hp で発動 / 対象 自分 / 1戦1回まで,6,太史慈〔神射〕、顔良〔河北の驍〕、厳顔〔老当〕、董襲〔断纜〕、龐徳〔白馬〕、周倉〔刀持ち〕,
banner,弔旗,誘発,攻撃力 +6%（20秒）,ally_retreat で発動 / 対象 味方全体 / 1戦2回まで,4,董卓〔暴虐〕、諸葛瑾〔子瑜〕、呉懿〔外戚〕、馬騰〔西涼〕,味方の隊が崩れた時、全軍の攻撃を上げる。弔い合戦と同じ条件・対象・持続・回数で、効き目が強い版（+6%）
dirge,弔歌,誘発,攻撃力 +6%（20秒）,ally_retreat で発動 / 対象 味方1体（攻撃力が最高） / 1戦2回まで,2,宗預〔使者〕、祖茂〔赤幘〕,
cheer,鼓舞,誘発,攻撃力 +8%（12秒）,ally_skill で発動 / 対象 味方1列 / 1戦4回まで,7,徐晃〔長駆〕、関平〔麒麟児〕、楽綝〔揚州〕、全琮〔護軍〕、朱桓〔濡須〕、馬良〔白眉〕、黄月英〔木牛流馬〕,
diehard,死守,誘発,防御力 +40%（90秒）,self_low_hp で発動 / 対象 自分 / 1戦1回まで,7,夏侯惇〔独眼〕、郭淮〔雍涼〕、傅僉〔守将〕、田豫〔国譲〕、孟獲〔南蛮王〕、郝昭〔陳倉〕、司馬師〔景王〕,
sanpei,散兵,誘発,防御力 +45%（90秒） + 反動 攻撃力 -25%（90秒）,self_low_hp で発動 / 対象 自分 / 1戦1回まで,1,王平〔無当〕,散兵。兵が減ると隊列をほどいて散り、的を絞らせない。守りは固くなるが攻めは鈍る（§7.261）
legacy,遺志,誘発,攻撃力 +15%（20秒）,ally_retreat で発動 / 対象 自分 / 1戦3回まで,7,文醜〔河北の勇〕、馬謖〔幼常〕、陳宮〔公台〕、廖化〔老将〕、蒋琬〔社稷〕、陳羣〔九品〕、高覧〔四庭柱〕,
relief,救護,誘発,回復 最大兵力の2%,ally_low_hp で発動 / 対象 味方1体（残兵力が最少） / 1戦2回まで,6,荀彧〔王佐〕、曹洪〔救主〕、張昭〔子布〕、曹真〔大司馬〕、華佗〔神医〕、羊祜〔徳政〕,味方の兵が減った時（崩れる前）に、残兵力がいちばん少ない味方1隊を回復する。荀彧の王佐＝軍を保つ働き（賈詡は削って乱す、荀彧は乱して支える）
relief1,救護,誘発,回復 最大兵力の1%,ally_low_hp で発動 / 対象 味方1体（残兵力が最少） / 1戦2回まで,2,糜竺〔子仲〕、孫乾〔従事〕,救護の小さい版（§7.192）。**表示名は救護のまま**。回復量が半分なのでコスト1の札にも載る（2%版は 0.471コスト点でコスト1の上限 0.45 を超える）。
vs_go,対呉,常在,,対呉。呉の武将へのダメージ増（群雄にも当たる）,4,関羽〔漢寿亭侯〕、張遼〔逍遥津〕、曹仁〔堅守〕、満寵〔剛毅〕,
vs_shu,対蜀,常在,,対蜀。蜀の武将へのダメージ増（群雄にも当たる）,4,司馬懿〔冢虎〕、陸遜〔夷陵〕、張郃〔巧変〕、鄧艾〔陰平〕,
vs_wei,対魏,常在,,対魏。魏の武将へのダメージ増（群雄にも当たる）,4,周瑜〔赤壁〕、姜維〔幼麟〕、甘寧〔錦帆賊〕、夏侯霸〔帰蜀〕,
vs_inf,矢衾,常在,,矢衾。歩兵へのダメージ増（密集した歩兵は矢の的）,1,呂範〔子衡〕,
bloodpath,血路,誘発,攻撃力 +10%（90秒）,self_low_hp で発動 / 対象 自分 / 1戦1回まで,3,馬超〔錦馬超〕、魏延〔子午〕、丁奉〔雪中〕,
order,号令,誘発,攻撃力 +3%（20秒）,enemy_retreat で発動 / 対象 味方全体 / 1戦2回まで,4,曹操〔魏王〕、孫権〔碧眼〕、曹丕〔文帝〕、司馬昭〔晋王〕,
sustain,継戦,誘発,回復 攻撃力の90%,enemy_retreat で発動 / 対象 自分 / 1戦3回まで,3,趙雲〔長坂坡〕、韓当〔老弓〕、賀斉〔山越討伐〕,
