章,戦,戦名,帯,ボス,陣形,敵デッキ,登用,前口上
1,1,妖霧の前哨,汜水関,,魚鱗,周倉〔刀持ち〕、糜竺〔子仲〕、韓遂〔九曲〕、張宝〔地公将軍〕、樊建〔伝令〕、宗預〔使者〕,張宝,黄巾の霧が郷を呑んだ。妖しき将・張宝が手勢を率いて迫る。まずは初陣である。
1,2,桃園の義勇,汜水関,,鶴翼,劉備〔徳将〕、簡雍〔憲和〕、糜竺〔子仲〕、孫乾〔従事〕、樊建〔伝令〕、宗預〔使者〕,劉備、簡雍,同じ乱を駆ける義勇の軍と轡が並んだ。筵売りから起った男の器を、布陣で測り合う。
1,3,燕人の一喝,汜水関,,魚鱗,張飛〔当陽橋〕、周倉〔刀持ち〕、糜竺〔子仲〕、張宝〔地公将軍〕、樊建〔伝令〕、宗預〔使者〕,張飛,「わが武を試すか！」燕人張飛が吼える。受けて立たねば男が廃る。
1,4,残党狩り,汜水関,,鶴翼,周倉〔刀持ち〕、廖化〔老将〕、韓遂〔九曲〕、糜竺〔子仲〕、張宝〔地公将軍〕、紀霊〔三尖刀〕,周倉、廖化,散った黄巾の生き残りが山に籠った。頭目は刀持ちの大男と若き俊足。降せば良い将になる。
1,5,黄天当立,汜水関,1,雁行,周倉〔刀持ち〕、廖化〔老将〕、張角〔太平道〕、張宝〔地公将軍〕、樊建〔伝令〕、宗預〔使者〕,張角,大賢良師・張角が自ら妖術の陣を布いた。蒼天已死──妖霧の奥の本陣を突け。
2,1,汜水関の大刀,汜水関,,魚鱗,華雄〔汜水関〕、張任〔落鳳〕、韓遂〔九曲〕、劉表〔八俊〕、張宝〔地公将軍〕、紀霊〔三尖刀〕,華雄,董卓の先鋒・華雄が関の前で大刀を振るい、諸侯の将を次々に斬った。次に進み出るのはお前だ。
2,2,白馬義従,汜水関,,雁行,公孫瓚〔白馬義従〕、韓遂〔九曲〕、陳羣〔九品〕、劉曄〔智嚢〕、樊建〔伝令〕、張宝〔地公将軍〕,公孫瓚,北平の公孫瓚が白馬をそろえて演武を挑んできた。義従の突撃を受けきれば、盟は固くなる。
2,3,江東の先鋒,汜水関,,魚鱗,程普〔老練〕、陳武〔廬江〕、全琮〔護軍〕、呂範〔子衡〕、闞沢〔詐降の証〕、張昭〔文淵〕,程普,孫堅軍の先鋒・程普は三代に仕える古豪。矛先は老いてなお錆びていない。
2,4,江東の虎,汜水関,,雁行,孫堅〔江東の虎〕、全琮〔護軍〕、呂範〔子衡〕、闞沢〔詐降の証〕、張昭〔文淵〕、丁奉〔雪中〕,孫堅,虎が来た。洛陽へ最も深く斬り込んだ男・孫堅文台。この演武、手加減はどちらにも無い。
2,5,傾国の舞,汜水関,,雁行,韓遂〔九曲〕、張任〔落鳳〕、貂蝉〔傾国〕、王允〔連環計〕、張宝〔地公将軍〕、樊建〔伝令〕,王允、貂蝉,司徒王允の邸に舞う影あり。連環の計は敵も味方も欺いてこそ。舞の裏の刃を見抜け。
2,6,郿塢の暴虐,汜水関,,鶴翼,董卓〔暴虐〕、張任〔落鳳〕、韓遂〔九曲〕、糜竺〔子仲〕、張宝〔地公将軍〕、紀霊〔三尖刀〕,董卓,肥えた相国は郿塢に財と兵を溜め込んだ。暴虐の壁は厚い。だが崩れるときは一息だ。
2,7,虎牢関,汜水関,1,魚鱗,呂布〔飛将〕、高順〔陥陣〕、韓遂〔九曲〕、劉表〔八俊〕、張宝〔地公将軍〕、宗預〔使者〕,呂布,人中に呂布、馬中に赤兎。虎牢関に天下無双が立ち塞がる。三人がかりでも抜けなかった男へ、軍で挑め。
3,1,陥陣営,汜水関,,魚鱗,高順〔陥陣〕、張任〔落鳳〕、韓遂〔九曲〕、陳宮〔公台〕、張宝〔地公将軍〕、紀霊〔三尖刀〕,高順,呂布が滅んでなお、陥陣営は降らず戦い続ける。攻めれば必ず陥とすという漢を、こちらの旗の下へ。
3,2,宛城の死闘,汜水関,,鶴翼,典韋〔古之悪来〕、田豫〔国譲〕、曹洪〔救主〕、楽綝〔揚州〕、陳羣〔九品〕、劉曄〔智嚢〕,典韋,宛城の夜、門を一人で塞いだ悪来が居る。双戟はすでに無い。それでも門は破れない。
3,3,虎痴の怪力,汜水関,,魚鱗,許褚〔虎痴〕、田豫〔国譲〕、楽綝〔揚州〕、陳羣〔九品〕、劉曄〔智嚢〕、満寵〔剛毅〕,許褚,牛を引きずって歩く男が力比べを挑んできた。受けよ。虎痴の腕は本物だ。
3,4,独眼の将,汜水関,,魚鱗,夏侯惇〔独眼〕、田豫〔国譲〕、楽綝〔揚州〕、陳羣〔九品〕、劉曄〔智嚢〕、満寵〔剛毅〕,夏侯惇,矢を受けた己の眼を呑んだ将が居るという。親の精、棄つべからず──独眼の将は退かぬ。
3,5,山越討伐,汜水関,,魚鱗,賀斉〔山越討伐〕、董襲〔断纜〕、全琮〔護軍〕、呂範〔子衡〕、闞沢〔詐降の証〕、張昭〔文淵〕,賀斉、董襲,山越の乱を鎮めて回る呉の討伐隊と競り合いになった。飾りたてた武具は伊達ではない。
3,6,神亭嶺,汜水関,,雁行,陳武〔廬江〕、潘璋〔急襲〕、太史慈〔神射〕、呂範〔子衡〕、闞沢〔詐降の証〕、丁奉〔雪中〕,太史慈、陳武,神亭嶺で小覇王と組み討った弓の名手が、また誰かを試している。的になるか、射抜くかだ。
3,7,小覇王,汜水関,1,鶴翼,孫策〔小覇王〕、周泰〔身代〕、全琮〔護軍〕、潘璋〔急襲〕、呂範〔子衡〕、張昭〔文淵〕,孫策,江東の風が来る。小覇王・孫策、駆け抜けた者だけが群雄の名を得る。正面から受けて立て。
4,1,白馬の急,官渡,,鶴翼,顔良〔河北の驍〕、文醜〔河北の勇〕、韓遂〔九曲〕、紀霊〔三尖刀〕、沮授〔監軍〕、田豊〔剛直〕,顔良、文醜,河北の二枚看板が白馬津に迫る。顔良と文醜、名だけで城門が閉まる武である。
