兵法名,武将,コスト,対象,効果,消費ゲージ%,効果数,発動型,説明
唯才是挙,曹操〔魏王〕,10,味方全体,攻撃力 +9%（41秒）,150,1,,
堅忍,司馬懿〔冢虎〕,10,敵全体,吸収 威力120%（知力比）,75,1,手数,
青龍偃月,関羽〔漢寿亭侯〕,10,敵1体（前衛の主力）,ダメージ 威力600% + 一騎討ち 12秒,150,2,標準,関羽の一騎討ち（§7.249）。名指しした敵の主力を乱軍から引きずり出し、その間ほかの敵は関羽に手が出せない。挑まれた側は味方の援護を離れるので、こちらの味方からは撃たれ続ける
借風火攻,諸葛亮〔臥龍〕,10,敵前衛,ダメージ 威力590%,300,1,,東南の風を借りて放つ火攻め — 敵の前衛をまとめて焼き払う一撃。味方への風の支援ではない
一喝,張飛〔当陽橋〕,10,敵1列,ダメージ 威力200〜1100% + 畏怖 -15%（30秒）,150,2,標準,
轅門射戟,呂布〔飛将〕,10,敵1体（残兵力が最少）,ダメージ 威力350%,75,1,手数,
虎嘯,呂布〔虓虎〕,10,敵後衛,ダメージ 威力1400% + ゲージ阻害 8秒,300,2,大技,
江東の疾風,孫策〔小覇王〕,9,敵1体（正面）,ダメージ 威力1046% + 攻撃力 +10%（34秒）,300,2,,
火計,周瑜〔赤壁〕,10,敵1列,継続ダメージ 威力60%（14秒）,300,1,,
突撃,張遼〔逍遥津〕,9,敵1体（正面）,ダメージ 威力1043% + 見切り 20%（30秒）,300,2,,見切りは防御力プラスの呼び名（§7.232・畏怖と同じ形）。§7.231 で外した 移動速度 +30% の代替 — 逍遥津は寡兵で突っ込んで生きて帰った話なので、速さではなく「かわす」で表す
抜矢啖睛,夏侯惇〔独眼〕,9,敵1体（正面）,ダメージ 威力2300% + 反動 攻撃力 -20%（60秒）,300,2,,
西涼の驍将,馬超〔錦馬超〕,8,敵後衛,ダメージ 威力2800% + 畏怖 -15%（25秒）,300,2,,
単騎突入,趙雲〔長坂坡〕,9,敵後列,ダメージ 威力815% + 防御力 +25%（32秒）,300,2,,
仁徳,劉備〔徳将〕,9,味方全体,回復 攻撃力の200% + 攻撃力 +10%（30秒）,150,2,,
暴威,董卓〔暴虐〕,9,敵1列,ダメージ 威力1800% + 畏怖 -15%（30秒）,300,2,,
連営火攻,陸遜〔夷陵〕,9,敵1列,継続ダメージ 威力55%（14秒）,300,1,,夷陵で連営を焼いた火攻め — 敵1列を延焼させ、足を止める
神射,太史慈〔神射〕,9,敵1体（残兵力が最少）,ダメージ 威力976%,300,1,,
裸衣闘馬超,許褚〔虎痴〕,8,敵1体（正面）,ダメージ 威力900% + 攻撃力 +12%（30秒）,300,2,,
